x,y,z,speed
2.251210851050884969e+02,-3.640907247477569513e+02,2.444705101831877447e-02,4.534166157245635986e-01
2.256210381169200616e+02,-3.640975783920030153e+02,2.209634966560005201e-02,2.865290113140774864e+00
2.261209964219777362e+02,-3.641040344455823856e+02,1.987971709041506593e-02,3.605123167880221136e+00
2.266209595292426116e+02,-3.641101073121947707e+02,1.779366911905232509e-02,4.151837012393416515e+00
2.271209269808057911e+02,-3.641158113974773869e+02,1.583472094853428588e-02,4.616461375610686702e+00
2.276208983506292896e+02,-3.641211611087602478e+02,1.399938721974404270e-02,5.030022001983493141e+00
2.281208732433053967e+02,-3.641261708548398133e+02,1.228418208533020410e-02,5.263319909265933738e+00
2.286208512928152459e+02,-3.641308550457722504e+02,1.068561927257038677e-02,5.463725079684431662e+00
2.291208321612861880e+02,-3.641352280926835761e+02,9.200212141371906516e-03,5.715488737892902016e+00
2.296208155377484843e+02,-3.641393044075975354e+02,7.824473737589161815e-03,6.027424098282279097e+00
2.301208011368912025e+02,-3.641430984032789411e+02,6.554916841840618957e-03,6.287173897491455499e+00
2.306207886978176589e+02,-3.641466244930929861e+02,5.388054014006271597e-03,6.592494764048665523e+00
2.311207779828000923e+02,-3.641498970908796196e+02,4.320397633585815016e-03,6.898971900251656741e+00
2.316207687760342253e+02,-3.641529306108415653e+02,3.348459936100593119e-03,7.132233289673674648e+00
2.321207608823931992e+02,-3.641557394674449597e+02,2.468753045719748913e-03,7.429638580818764382e+00
2.326207541261815379e+02,-3.641583380753343135e+02,1.677789004296169166e-03,7.661839208981842120e+00
2.331207483498884869e+02,-3.641607408492572517e+02,9.720797969893692908e-04,7.900327054678656147e+00
2.336207434129417209e+02,-3.641629622040011327e+02,3.481373746619568317e-04,8.109843748394370166e+00
2.341207391904604833e+02,-3.641650165543404682e+02,-1.975263267686835694e-04,8.349644576452906364e+00
2.346207355720087833e+02,-3.641669183149925288e+02,-6.683993698429883425e-04,8.536713748777465582e+00
2.351207324603487621e+02,-3.641686819005828397e+02,-1.067969801750630939e-03,8.771428828599445282e+00
2.356207297701936909e+02,-3.641703217256180096e+02,-1.399725643019932757e-03,8.938698291058630119e+00
2.361207274269611958e+02,-3.641718522044661199e+02,-1.667154878522058388e-03,9.125784300819580253e+00
2.366207253655265390e+02,-3.641732877513430253e+02,-1.873745450606974922e-03,9.336343208719652509e+00
2.371207235289757307e+02,-3.641746427803058168e+02,-2.022985254188774777e-03,9.530336312945442145e+00
2.376207218673588102e+02,-3.641759317052487859e+02,-2.118362133598016266e-03,9.705843219452379600e+00
2.381207203364432416e+02,-3.641771689399059255e+02,-2.163363881017479201e-03,9.879051928793748161e+00
2.386207188964671673e+02,-3.641783688978562736e+02,-2.161478236319519172e-03,1.004551591482802664e+01
2.391207175108928595e+02,-3.641795459925305636e+02,-2.116192888121946458e-03,1.020635193723016521e+01
2.396207161451601735e+02,-3.641807146372219677e+02,-2.030995475879915184e-03,1.036408366596186070e+01
