x,y,z,speed
2.251742345036476252e+02,-3.640924191882132277e+02,1.537617554235878349e-02,1.293599963188171387e+00
2.256741996933542964e+02,-3.640983186622815424e+02,1.418322812937937959e-02,2.866964676881531116e+00
2.261741677441406750e+02,-3.641039704712762841e+02,1.304298007888686842e-02,3.607807155965096158e+00
2.266741384585323544e+02,-3.641093815465691819e+02,1.195442013315812374e-02,4.153603989439238475e+00
2.271741116490555612e+02,-3.641145588179917354e+02,1.091653727444008050e-02,4.620670542339309073e+00
2.276740871433485154e+02,-3.641195086560634877e+02,9.928444107052486478e-03,5.033651537910427187e+00
2.281740647774148272e+02,-3.641242374434994531e+02,8.989255656709514708e-03,5.301740671785829306e+00
2.286740443800298408e+02,-3.641287533131387590e+02,8.097697168394745251e-03,5.467534088816525362e+00
2.291740258010171942e+02,-3.641330631884935087e+02,7.252758625358105352e-03,5.722263588648421440e+00
2.296740088987464503e+02,-3.641371739915463763e+02,6.453430257320761504e-03,6.009773697819763782e+00
2.301739935468137617e+02,-3.641410917326959975e+02,5.698916659779247780e-03,6.305461625031393957e+00
2.306739796155451927e+02,-3.641448237845467020e+02,4.988109404111680002e-03,6.596076307488277557e+00
2.311739669828772037e+02,-3.641483776260774903e+02,4.319869075179092605e-03,6.877110405469660570e+00
2.316739555386360223e+02,-3.641517601731284799e+02,3.693186908299665294e-03,7.146897012583457887e+00
2.321739451797450897e+02,-3.641549783400815841e+02,3.107054381706148179e-03,7.404963842484558967e+00
2.326739358163669635e+02,-3.641580379644786376e+02,2.560738308392887519e-03,7.654201098574418438e+00
2.331739273517283380e+02,-3.641609470316683996e+02,2.052966881580495923e-03,7.892977259779004662e+00
2.336739197017862182e+02,-3.641637125577803431e+02,1.582705663040169649e-03,8.122891899291550644e+00
2.341739127891045769e+02,-3.641663414514504211e+02,1.148947103357478164e-03,8.344742097201072184e+00
2.346739065427613866e+02,-3.641688404436347923e+02,7.507334023270276603e-04,8.558976921392977388e+00
2.351739008987392481e+02,-3.641712158983183940e+02,3.872179396770020383e-04,8.766569397011412690e+00
2.356738957916059007e+02,-3.641734755424682248e+02,5.716863545178956863e-05,8.968075161279870144e+00
2.361738911649252657e+02,-3.641756262794253303e+02,-2.404211374814221825e-04,9.164440982116751400e+00
2.366738869667640870e+02,-3.641776750113180015e+02,-5.065577904076340194e-04,9.358127181979115861e+00
2.371738831505588223e+02,-3.641796283373614074e+02,-7.421468500072584329e-04,9.542624298985586506e+00
2.376738796724049507e+02,-3.641814931499782801e+02,-9.481778980930212009e-04,9.719366817379883727e+00
2.381738764905920505e+02,-3.641832767603373213e+02,-1.125788939424535954e-03,9.889357582334797669e+00
2.386738735684123753e+02,-3.641849860659619935e+02,-1.275985549175800635e-03,1.005443802743550386e+01
2.391738708722278375e+02,-3.641866279633456998e+02,-1.399773110489079030e-03,1.021430487569627488e+01
2.396738683720693075e+02,-3.641882090637936926e+02,-1.498027699351615330e-03,1.036941022981284632e+01
2.401738660387829043e+02,-3.641897365006338418e+02,-1.571836129982724303e-03,1.051989286627494913e+01
2.406738638457984507e+02,-3.641912173158108317e+02,-1.622265612586423550e-03,1.066608012513821535e+01
2.411738617689483419e+02,-3.641926584020094992e+02,-1.650320801355767593e-03,1.080769844226501242e+01
2.416738597857057869e+02,-3.641940666510886331e+02,-1.657006186708003806e-03,1.094716548389739685e+01
2.421738578752739102e+02,-3.641954488182905152e+02,-1.643189213787329614e-03,1.108286463822952150e+01
2.426738560169439722e+02,-3.641968120150583559e+02,-1.610012337741548562e-03,1.121550963976204329e+01
2.431738541913730103e+02,-3.641981631482536272e+02,-1.558493188882320579e-03,1.134465082278949311e+01
2.436738523797649805e+02,-3.641995091067876729e+02,-1.489635650921854616e-03,1.147155880298133468e+01
2.441738505635150602e+02,-3.642008567878920076e+02,-1.404427591226752210e-03,1.159795023954784199e+01
2.446738487236832782e+02,-3.642022131859632736e+02,-1.303794596522379499e-03,1.172066293235726242e+01
2.451738468412939653e+02,-3.642035851748843243e+02,-1.188849031792461311e-03,1.184131554302328304e+01
2.456738448966936517e+02,-3.642049796413311924e+02,-1.060594279202216675e-03,1.195988077080566647e+01
2.461738428693037974e+02,-3.642064034715436946e+02,-9.200336146909903878e-04,1.207517254835238418e+01
2.466738407369967945e+02,-3.642078636665601721e+02,-7.681426706831329240e-04,1.219046432589910367e+01
2.471738384759443647e+02,-3.642093672823233419e+02,-6.059102463219793924e-04,1.230386322653842335e+01
2.476738360615816816e+02,-3.642109210204309306e+02,-4.343960598935727737e-04,1.241498675377199845e+01
2.481738334667499544e+02,-3.642125317657645951e+02,-2.546030204179546550e-04,1.252421616729794174e+01
2.486738306619428727e+02,-3.642142064029804942e+02,-6.753396370299329337e-05,1.263184646644826969e+01
2.491738276138467825e+02,-3.642159521467998502e+02,1.258308360665213598e-04,1.273724423046981258e+01
2.496738242871990110e+02,-3.642177758972998163e+02,3.244728044177866335e-04,1.284139540027173609e+01
2.501738206445148478e+02,-3.642196842946232778e+02,5.273677931568916677e-04,1.294554657007365783e+01
2.506738166439878910e+02,-3.642216842228986025e+02,7.335132000584066716e-04,1.304706836637181944e+01
2.511738122400420252e+02,-3.642237825662221553e+02,9.419064641201857014e-04,1.314716854904481913e+01
2.516738073801134874e+02,-3.642259868591839336e+02,1.151546588940660382e-03,1.324592222917897644e+01
2.521738020114603955e+02,-3.642283036361715745e+02,1.361417015784202903e-03,1.334306982235471040e+01
2.526737960762507100e+02,-3.642307395825505978e+02,1.570512955865055764e-03,1.343938180395613102e+01
2.531737895108873602e+02,-3.642333015826337714e+02,1.777831955527247069e-03,1.353443269456244380e+01
2.536737822465805436e+02,-3.642359965208690369e+02,1.982371572802401130e-03,1.362812939704561543e+01
2.541737742028282128e+02,-3.642388323562442451e+02,2.183094494933470516e-03,1.372057632565525509e+01
2.546737653042978877e+02,-3.642418150509663519e+02,2.379016969496888009e-03,1.381167898272403782e+01
2.551737554650628113e+02,-3.642449514402171076e+02,2.569137908925635261e-03,1.390103019667813022e+01
