x,y,z,speed
-6.474377344374488530e+01,2.447076441778786560e+01,4.735622081786735604e-01,3.837327063083648127e-01
-6.424377570545135541e+01,2.447224616239405748e+01,4.638397563978112481e-02,2.861020456417287861e+00
-6.374377709348145515e+01,2.447342418158190469e+01,-2.946581593780370559e-02,3.604136206007408916e+00
-6.324377851051981736e+01,2.447461440864657334e+01,-2.833497076923205751e-02,4.151649318268050060e+00
-6.274378019360607794e+01,2.447591121070602327e+01,-1.177437222891473956e-02,4.616374799872394519e+00
-6.224378213518097880e+01,2.447730449750982373e+01,1.922190337419884404e-03,5.026137452125480465e+00
-6.174378414357818201e+01,2.447872166656228998e+01,1.072561211149993324e-02,5.221076898763588936e+00
-6.124378599861562833e+01,2.448008331330143506e+01,1.275131556916007415e-02,5.562980951805950980e+00
-6.074378718846210745e+01,2.448116449809925399e+01,8.527545546348526406e-03,5.771670303299461402e+00
-6.024378738787379461e+01,2.448151228680473679e+01,2.899729125281276000e-03,6.163182559017736040e+00
-5.974378794467886422e+01,2.448081791496260351e+01,2.400307716424683645e-04,6.369854858083952465e+00
-5.924378966073549435e+01,2.447951087940485948e+01,7.046459844617107191e-05,6.618043517854656166e+00
-5.874379138703648096e+01,2.447819847794279013e+01,5.521529235514554537e-04,6.882443047535717007e+00
-5.824379258110135282e+01,2.447710749668828001e+01,9.639034947818325878e-04,7.158795484049526259e+00
-5.774379337336600315e+01,2.447621913871308053e+01,1.300148299049779183e-03,7.423907212539831768e+00
-5.724379387769802463e+01,2.447551065970258222e+01,1.567763226891122005e-03,7.642535593900152691e+00
-5.674379418341766268e+01,2.447495934715204768e+01,1.773607565330304232e-03,7.864863076630923544e+00
-5.624379435853855824e+01,2.447454238572359486e+01,1.924573891514490872e-03,8.081853185989130495e+00
-5.574379445280417400e+01,2.447423673282575507e+01,2.027647914094612546e-03,8.291763191264156063e+00
-5.524379450049795537e+01,2.447401948645728353e+01,2.089758634827409978e-03,8.498094946943915318e+00
-5.474379452376350486e+01,2.447386775806158710e+01,2.117819010242911939e-03,8.704326448188751897e+00
-5.424379453577622456e+01,2.447375852719492428e+01,2.118800639707197914e-03,8.887983196722586854e+00
-5.374379454383583976e+01,2.447366878626908004e+01,2.099678411391363471e-03,9.089873175390728477e+00
-5.324379455254580051e+01,2.447357556343541418e+01,2.067408198559177960e-03,9.318792379476809273e+00
-5.274379456700511071e+01,2.447345582266913766e+01,2.028949275269938731e-03,9.509939502226107066e+00
-5.224379459543963122e+01,2.447328796779116900e+01,1.990891720638299309e-03,9.669927393316458009e+00
-5.174379464525991068e+01,2.447306530849027695e+01,1.955687163440943295e-03,9.821542055642815683e+00
-5.124379472117585266e+01,2.447279017836704185e+01,1.923280735732331263e-03,9.975844530456189574e+00
-5.074379482713523970e+01,2.447246496946021210e+01,1.893585000415412209e-03,1.013962069982340175e+01
-5.024379496625626729e+01,2.447209222239247239e+01,1.866504477395929161e-03,1.030537579343670629e+01
-4.974379514098959731e+01,2.447167440492334123e+01,1.841947549789395028e-03,1.046468692134353695e+01
-4.924379535313301659e+01,2.447121396993996711e+01,1.819823439873807661e-03,1.061634884342351093e+01
-4.874379560389167665e+01,2.447071333836720797e+01,1.800043324887231136e-03,1.076064171484415866e+01
-4.824379589377898014e+01,2.447017503064179422e+01,1.782512544674696390e-03,1.089932292910323497e+01
-4.774379622280491020e+01,2.446960150759575825e+01,1.767139833702154007e-03,1.103470927997321027e+01
-4.724379659048351243e+01,2.446899521111643239e+01,1.753835151787066886e-03,1.117134553742471148e+01
-4.674379699583605685e+01,2.446835859383622136e+01,1.742507907166230283e-03,1.130777329831236244e+01
-4.624379743738320059e+01,2.446769414875883797e+01,1.733064780330998041e-03,1.144300479548233263e+01
-4.574379791327570643e+01,2.446700433474642011e+01,1.725414598898856490e-03,1.157380104682994393e+01
-4.524379842132039897e+01,2.446629158993973974e+01,1.719467812113881049e-03,1.170046588571788782e+01
-4.474379895893950732e+01,2.446555838616369982e+01,1.715132480393728124e-03,1.182383385084275140e+01
-4.424379952325016774e+01,2.446480719600274156e+01,1.712316387132020203e-03,1.194440943526309518e+01
-4.374380011112575772e+01,2.446404047693996375e+01,1.710928431275293270e-03,1.206233566396262447e+01
-4.324380071923449265e+01,2.446326067141654192e+01,1.710879267714464098e-03,1.217802325267707175e+01
-4.274380134399837772e+01,2.446247025628175109e+01,1.712076103950854094e-03,1.229146666465787874e+01
-4.224380198170841538e+01,2.446167169157930843e+01,1.714427550231117968e-03,1.240324097749101284e+01
-4.174380262854162282e+01,2.446086743346642933e+01,1.717842717385398722e-03,1.251303817793248818e+01
-4.124380328058994394e+01,2.446005993885297514e+01,1.722231669902010232e-03,1.262109630183671349e+01
-4.074380393388449306e+01,2.445925167275148482e+01,1.727501796929457314e-03,1.272748117061135709e+01
-4.024380458445870090e+01,2.445844509165767278e+01,1.733562069504200913e-03,1.283222578384515522e+01
-3.974380522836462148e+01,2.445764265593631848e+01,1.740321817689966920e-03,1.293545329870470617e+01
-3.924380586170764929e+01,2.445684683090949463e+01,1.747690104823812918e-03,1.303719799994253314e+01
-3.874380648071154098e+01,2.445606006883290817e+01,1.755575167683433866e-03,1.313749707449934157e+01
-3.824380708172629539e+01,2.445528482645256219e+01,1.763885988372826700e-03,1.323644047408427760e+01
-3.774380766124658493e+01,2.445452357707466717e+01,1.772531789688071594e-03,1.333400209674203474e+01
-3.724380821599778102e+01,2.445377877869964678e+01,1.781421221134215586e-03,1.343028759789044102e+01
-3.674380874296174682e+01,2.445305287958803930e+01,1.790463041076041390e-03,1.352528700838098885e+01
-3.624380923938446131e+01,2.445234833732900270e+01,1.799566220726911197e-03,1.361904675569797973e+01
-3.574380970277697145e+01,2.445166764660928749e+01,1.808639553777795228e-03,1.371160872488125904e+01
-3.524381013108513372e+01,2.445101324288971156e+01,1.817591856568170254e-03,1.380298167176669821e+01
-3.474381052261629321e+01,2.445038757897389914e+01,1.826332085030434906e-03,1.389323272770208995e+01
-3.424381087608716001e+01,2.444979311877391481e+01,1.834769120271002776e-03,1.398236138984391097e+01
-3.374381119076761593e+01,2.444923224295416020e+01,1.842814873107081987e-03,1.407042907867578130e+01
-3.324381146848948987e+01,2.444870533947412383e+01,1.850436684002089134e-03,1.415745782213781645e+01
-3.274381171256370493e+01,2.444821139038775826e+01,1.857643013773902776e-03,1.424345229390094403e+01
-3.224381192612183611e+01,2.444774935592445786e+01,1.864443193043698347e-03,1.432837154219469156e+01
-3.174381211209711751e+01,2.444731819674827378e+01,1.870846537555640419e-03,1.441241472271630641e+01
-3.124381227327166499e+01,2.444691682119752940e+01,1.876863039422391665e-03,1.449541222707671828e+01
-3.074381241220502403e+01,2.444654417316890260e+01,1.882502237905050134e-03,1.457753111304873528e+01
-3.024381253125985225e+01,2.444619921915598226e+01,1.887773367577342404e-03,1.465876194619381856e+01
-2.974381263264556452e+01,2.444588089771055905e+01,1.892686026831379978e-03,1.473902414771918679e+01
-2.924381271841080476e+01,2.444558813091270366e+01,1.897250043552735268e-03,1.481847698517502643e+01
-2.874381279042716031e+01,2.444531986200092533e+01,1.901474964068539195e-03,1.489703130882971394e+01
-2.824381285039878975e+01,2.444507506049263412e+01,1.905369958403337885e-03,1.497477458311064602e+01
-2.774381289990553512e+01,2.444485264969080873e+01,1.908944841050229553e-03,1.505169354226474532e+01
-2.724381294037820567e+01,2.444465156209683698e+01,1.912209307972419703e-03,1.512777917220855706e+01
-2.674381297310724648e+01,2.444447074039272749e+01,1.915172911641114736e-03,1.520312669079446799e+01
