x,y,z,speed
-6.485315394315125559e+01,2.446550358203929676e+01,2.268298887956715360e-01,1.302068114280700906e+00
-6.435317906761430606e+01,2.447050360712875516e+01,1.108329335850159886e-01,2.829264802149809022e+00
-6.385319416452640695e+01,2.447437679611743633e+01,4.294145029114922185e-02,3.595959691197759600e+00
-6.335320239208027004e+01,2.447723054814565558e+01,5.818101472574109187e-03,4.148685146140511648e+00
-6.285320598044726381e+01,2.447910323719694148e+01,-1.252605578969860634e-02,4.614861499701242487e+00
-6.235320684724963058e+01,2.447999000113823698e+01,-2.114845841016561520e-02,5.022550923602209672e+00
-6.185320689962247087e+01,2.447999000067956032e+01,-2.450655334467027532e-02,5.250626508832006323e+00
-6.135320740348326751e+01,2.447930172581045483e+01,-2.394810521586681132e-02,5.446031798836015625e+00
-6.085320883003055314e+01,2.447811334797693661e+01,-2.064747990882078582e-02,5.778444809649017522e+00
-6.035321110850556892e+01,2.447660539219094034e+01,-1.573375893405566314e-02,6.122503498773223640e+00
-5.985321383663480077e+01,2.447495378145249489e+01,-1.031026734015216134e-02,6.393432044999558528e+00
-5.935321652345884758e+01,2.447331470663596065e+01,-5.358146533185255758e-03,6.597128960812087328e+00
-5.885321904397110870e+01,2.447172715855005620e+01,-1.123039808449292475e-03,6.828751990927357518e+00
-5.835322142534215573e+01,2.447018403749803284e+01,2.438724569360613097e-03,7.047083636400991224e+00
-5.785322369340081394e+01,2.446867806349568042e+01,5.372057060646429245e-03,7.255276170374452605e+00
-5.735322587250283988e+01,2.446720190638583148e+01,7.722289976803851583e-03,7.477439030873308745e+00
-5.685322798572788372e+01,2.446574822440632246e+01,9.534049116493106130e-03,7.726631829596718681e+00
-5.635323005555319043e+01,2.446430954090881471e+01,1.085438875407926905e-02,7.968472044336692761e+00
-5.585323210376064651e+01,2.446287838684880001e+01,1.173010945844769892e-02,8.176364437079906011e+00
-5.535323415183955831e+01,2.446144727767520166e+01,1.220795260045510512e-02,8.415752164393268231e+00
-5.485323622135075539e+01,2.446000870326447796e+01,1.233493065326565080e-02,8.659668917357429052e+00
-5.435323833444957131e+01,2.445855506485721165e+01,1.215751387912048648e-02,8.850778140250971759e+00
-5.385324051377700272e+01,2.445707883205433220e+01,1.172417411340762571e-02,9.062165937744493860e+00
-5.335324278306526224e+01,2.445557245081399245e+01,1.108262137341927203e-02,9.276420603327851566e+00
-5.285324516743643386e+01,2.445402835892404880e+01,1.028064434067174106e-02,9.465754791103714538e+00
-5.235324769399719003e+01,2.445243890857679148e+01,9.366036630234034557e-03,9.621990104783103348e+00
-5.185325039178684392e+01,2.445079649860395321e+01,8.387000963722931676e-03,9.784756494429762697e+00
-5.135325329179803333e+01,2.444909366280989005e+01,7.391758011889609965e-03,9.970736397640864723e+00
-5.085325642746128239e+01,2.444732300669534553e+01,6.427685963677619296e-03,1.015138210211787317e+01
-5.035325981898860448e+01,2.444548151055602858e+01,5.520914424289355416e-03,1.031713941565223180e+01
-4.985326346801943487e+01,2.444357136917346551e+01,4.671766166533418072e-03,1.047374953505007333e+01
-4.935326737250023399e+01,2.444159548675873239e+01,3.878625093524326866e-03,1.062186136425076910e+01
-4.885327153008831402e+01,2.443955655442851338e+01,3.140051222320851005e-03,1.076240745535931076e+01
-4.835327593743173225e+01,2.443745726155139408e+01,2.454605670417353905e-03,1.090634073893146372e+01
-4.785328059078636187e+01,2.443530016457699361e+01,1.820970519261008204e-03,1.104816792216767674e+01
-4.735328548453258435e+01,2.443308804387626054e+01,1.237628468143522594e-03,1.118385160320252680e+01
-4.685329061231267644e+01,2.443082363855959827e+01,7.030947358937734634e-04,1.131475940938100955e+01
-4.635329596716823630e+01,2.442850963145449228e+01,2.159346092549205580e-04,1.144465360250640806e+01
-4.585330154152838844e+01,2.442614866658559336e+01,-2.252481211324544315e-04,1.157189683312813600e+01
